Cement,Water,Fine_Aggregate,Coarse_Aggregate,Superplasticizer,Age,Compressive_Strength
472.2,152.4,965.7,673.4,5.5,28,54.39
405.9,192.3,960.5,656.4,7.17,28,40.93
341.7,168.1,742.8,840.4,3.0,7,29.06
491.8,204.2,824.0,816.3,11.5,28,44.4
380.4,152.7,904.5,726.0,2.69,28,46.92
535.5,206.2,823.2,880.3,2.75,56,49.77
375.4,200.2,862.1,866.5,8.3,3,17.75
348.2,157.1,762.1,918.4,6.64,7,30.14
511.2,153.6,745.0,829.9,6.19,28,55.61
355.3,200.1,859.8,749.3,6.01,1,8.28
361.2,159.3,949.4,783.2,3.42,14,39.01
457.9,182.1,858.1,709.7,3.83,28,45.6
521.1,204.9,924.6,706.8,7.52,3,27.11
365.2,184.0,890.6,847.9,4.41,28,37.99
391.4,173.8,854.4,885.7,6.77,180,48.72
498.8,176.7,738.3,893.9,4.67,28,51.51
543.5,153.8,809.7,873.7,9.92,28,59.7
435.2,208.1,815.5,825.8,8.85,28,40.82
353.1,168.6,810.8,889.9,2.94,7,28.19
323.2,161.4,705.0,851.3,1.9,3,21.29
372.8,167.2,747.8,831.1,5.14,28,41.27
350.3,207.9,919.9,752.9,7.17,14,30.56
475.9,155.7,869.2,727.3,8.57,7,41.91
348.0,202.0,993.7,689.5,6.63,1,10.55
436.5,192.5,923.1,697.2,5.7,56,43.89
479.7,199.8,924.4,802.9,4.65,1,10.8
453.7,208.6,806.6,907.3,7.09,28,42.74
365.9,200.5,881.3,767.2,3.33,14,33.37
504.9,206.6,782.8,921.8,9.86,28,49.92
484.5,157.6,825.6,778.6,4.33,7,42.1
490.0,197.7,838.5,810.3,5.3,7,39.14
350.1,182.7,817.3,772.2,5.3,28,36.36
348.5,182.6,847.3,874.9,5.13,28,38.68
533.3,203.9,948.0,766.6,9.08,7,36.12
411.4,208.3,997.0,733.5,5.66,14,35.21
389.2,192.3,975.4,750.1,9.1,14,31.43
432.4,179.0,947.9,794.0,9.43,7,33.5
472.5,177.4,846.9,748.8,10.67,28,51.29
539.8,173.2,789.5,946.9,9.5,3,27.96
385.9,171.7,929.4,734.9,6.83,28,44.22
532.7,173.5,869.1,765.4,9.15,3,31.64
325.7,155.4,815.4,846.6,4.46,28,39.54
447.7,154.6,807.9,810.6,5.12,7,38.8
465.8,196.8,949.1,658.6,7.84,28,44.63
344.4,176.8,868.9,729.4,1.9,14,31.47
352.3,205.8,816.7,749.7,1.81,90,33.76
416.4,186.7,895.8,753.5,9.17,28,43.45
542.2,152.1,884.6,842.9,3.21,56,62.56
457.1,159.5,872.4,803.6,7.08,7,43.54
534.6,162.3,816.4,837.8,9.25,14,51.7
505.0,208.5,844.0,791.7,4.53,3,27.12
427.5,163.1,908.2,734.6,9.8,14,43.27
500.5,180.9,725.9,866.0,4.41,28,51.1
324.1,206.2,976.0,738.6,7.35,56,32.89
345.1,208.6,782.8,806.8,6.99,28,33.19
510.8,164.2,935.4,758.0,5.01,28,54.84
503.3,152.9,930.0,772.0,4.03,7,44.82
373.5,159.2,912.2,752.7,4.23,1,12.58
442.1,153.8,932.3,790.3,5.73,28,51.99
459.4,161.7,955.1,653.1,4.56,7,40.9
519.6,184.1,908.5,817.8,12.98,3,31.73
458.7,204.7,949.4,746.4,4.4,90,46.86
414.9,182.2,950.3,759.4,8.97,90,48.49
406.1,187.6,817.0,866.0,3.32,28,42.43
418.0,162.1,846.7,872.5,10.28,14,41.97
469.9,198.0,898.1,850.5,4.47,56,48.33
519.5,187.1,803.4,830.7,6.98,7,37.63
424.4,201.8,865.0,847.8,6.86,14,35.83
377.0,206.9,864.1,834.8,2.79,14,34.94
374.4,170.9,886.9,753.7,7.99,90,45.34
491.6,155.4,838.2,897.2,5.16,90,59.31
507.8,163.6,929.5,699.4,8.12,28,58.21
344.2,176.3,857.5,805.6,5.5,3,18.56
335.3,206.7,873.5,697.7,5.72,28,29.48
456.7,172.7,737.3,857.8,2.79,7,39.5
353.6,196.2,894.3,823.9,2.96,56,35.84
509.7,182.4,740.1,889.2,4.19,3,24.75
391.4,161.0,898.1,730.7,4.32,3,25.81
353.1,169.2,802.1,797.1,2.79,28,38.99
531.8,189.2,976.4,671.9,12.47,28,55.32
358.1,190.4,853.2,857.9,5.46,56,37.02
385.5,176.1,924.3,804.7,6.74,3,24.68
355.3,163.7,764.2,799.8,4.32,56,47.2
346.6,193.3,904.1,760.9,3.65,1,8.0
324.9,160.1,854.7,788.8,4.89,1,10.0
332.7,206.2,845.8,827.1,3.62,28,30.51
360.2,161.3,787.8,851.6,4.28,7,31.19
332.3,156.4,760.6,869.1,4.67,28,41.48
456.0,179.9,769.5,874.8,6.89,1,12.32
476.6,181.2,999.6,666.8,11.76,1,12.74
410.5,180.5,844.6,805.5,3.89,28,43.44
393.1,176.2,740.5,904.0,5.8,7,32.98
436.0,209.7,1016.0,697.5,3.48,28,39.83
521.3,179.2,769.7,929.4,6.26,28,52.25
515.8,178.7,829.8,788.4,9.98,3,27.78
330.0,175.3,953.6,756.5,2.8,28,35.44
361.7,154.0,1010.4,710.3,6.01,7,34.41
374.5,185.6,880.3,700.4,4.99,14,34.43
377.4,163.7,865.8,800.7,2.28,3,23.92
451.4,188.3,958.1,649.0,10.68,56,45.44
415.7,153.1,774.0,923.8,5.52,28,49.47
331.3,208.9,955.5,642.2,6.85,28,28.97
405.9,178.1,972.5,711.8,5.41,90,45.56
440.5,203.8,943.5,657.5,10.46,7,34.99
343.4,178.5,806.6,845.6,3.71,56,38.79
511.7,153.6,820.1,919.7,6.78,28,58.9
332.0,199.3,893.6,732.6,6.7,90,32.94
532.7,188.9,909.8,815.3,6.33,90,56.09
342.8,196.9,923.5,823.9,4.21,180,33.83
514.0,175.7,1015.5,709.5,12.8,3,28.8
527.6,188.3,859.7,723.5,8.5,28,50.53
545.3,201.4,851.2,862.7,10.24,56,53.28
504.5,187.9,793.8,762.6,9.01,28,46.03
499.3,170.9,765.5,863.2,10.76,7,39.26
467.8,189.8,825.6,898.5,10.4,90,53.61
499.2,190.3,795.8,892.0,8.12,7,39.38
350.9,207.6,946.8,709.8,3.82,28,33.97
443.3,172.3,904.5,723.1,2.42,28,50.09
438.3,175.5,906.8,805.6,7.58,7,37.64
517.2,198.7,856.4,835.5,11.13,28,48.7
426.4,180.3,904.5,739.2,5.97,3,22.5
408.6,194.2,988.6,739.9,3.39,28,42.12
467.1,177.6,929.2,666.8,5.03,56,52.03
381.3,162.9,842.8,741.3,5.8,7,38.84
352.1,194.7,961.8,716.8,7.65,28,34.06
429.9,157.9,918.8,825.6,3.63,7,41.98
415.9,161.9,833.6,765.9,7.17,56,51.21
373.5,187.6,927.7,672.3,7.49,90,43.93
404.5,194.8,801.5,776.4,9.6,7,33.9
404.3,203.7,877.2,844.9,2.96,28,35.8
395.3,166.4,790.8,804.4,9.3,28,45.02
407.3,156.6,871.2,779.4,6.94,28,47.45
477.7,207.4,929.6,818.6,9.71,28,42.35
388.3,159.3,852.4,700.0,2.36,28,46.8
538.2,161.9,854.9,806.4,8.14,28,58.33
530.8,167.5,797.6,854.9,9.26,7,43.65
430.6,181.8,992.7,718.8,4.8,14,41.9
395.5,203.0,813.6,807.4,5.39,56,36.18
443.2,195.6,960.4,671.7,7.13,3,25.8
515.2,192.5,761.9,821.7,8.27,28,49.78
470.1,160.5,906.8,791.3,2.74,7,41.15
505.0,171.5,905.5,801.4,6.96,56,58.04
442.5,178.7,905.9,671.5,4.11,28,49.15
465.6,158.8,766.8,861.9,10.86,14,48.97
386.3,166.4,1013.8,714.8,9.48,7,30.47
489.0,168.5,821.3,729.2,5.38,14,48.26
366.6,157.6,865.9,743.8,3.12,90,47.84
479.8,183.0,874.6,786.4,4.51,28,47.11
518.0,192.3,736.3,880.5,7.54,28,50.82
350.4,154.2,841.6,762.8,7.88,28,43.4
461.3,178.9,803.8,838.2,6.92,14,41.89
341.9,196.9,795.4,790.9,2.09,14,30.4
486.9,194.9,906.4,749.5,2.82,7,34.5
339.4,198.9,887.4,804.0,3.24,7,23.62
535.3,176.9,772.6,892.5,11.7,28,54.6
351.6,199.2,723.1,845.6,6.13,56,37.71
540.5,164.4,821.4,897.5,8.79,90,62.73
504.2,171.6,758.6,826.4,5.74,56,56.7
456.5,160.6,921.7,781.2,10.77,28,52.25
500.0,178.0,773.2,848.9,5.81,7,40.49
502.9,173.5,993.7,712.9,10.91,28,56.14
537.6,164.5,766.1,825.1,12.32,90,64.04
378.3,195.1,736.0,851.3,5.55,28,38.57
455.7,168.8,958.9,690.5,10.43,28,52.04
341.9,166.4,769.4,787.2,3.6,28,36.9
461.7,157.9,819.6,775.5,8.39,28,52.42
359.4,176.3,1006.5,688.3,2.43,90,41.15
449.9,168.2,1016.2,701.3,6.51,28,48.93
451.7,172.2,872.7,693.4,4.22,14,42.48
427.2,164.2,794.7,931.7,2.67,7,33.42
440.2,195.8,921.4,788.1,2.23,28,39.82
495.7,205.8,1031.5,692.4,5.7,7,34.51
503.8,179.9,1000.4,689.3,8.46,90,56.05
433.2,188.6,785.0,899.9,6.11,28,42.74
457.9,202.0,843.1,812.0,5.05,28,43.52
534.2,209.9,835.8,844.8,13.26,7,36.39
347.5,186.8,814.0,919.9,8.27,28,37.88
346.9,203.4,870.2,699.9,2.61,28,31.37
340.2,204.5,792.2,821.0,4.53,3,18.0
471.3,197.5,785.0,779.5,8.47,56,48.78
416.3,177.7,806.1,932.9,8.19,14,38.47
498.1,154.9,860.0,779.0,6.14,14,51.67
474.4,150.9,798.3,886.8,9.45,7,41.17
396.7,178.6,884.6,833.7,2.97,28,41.95
526.6,179.7,824.3,923.9,,28,52.25
495.4,174.4,938.5,643.9,9.58,56,56.39
382.2,184.1,806.6,903.3,6.69,3,19.22
403.8,183.1,912.6,814.9,8.78,180,46.92
392.3,200.2,748.0,811.8,2.33,28,37.97
356.3,156.5,784.8,916.0,3.02,7,34.66
354.0,163.5,778.6,842.3,2.11,7,29.86
535.3,197.6,769.7,910.0,4.73,7,38.35
420.7,200.9,778.3,874.5,2.14,56,41.92
408.2,209.7,839.5,762.5,6.16,7,31.43
487.8,202.4,863.9,713.2,7.59,28,43.53
447.2,203.4,728.6,844.8,8.12,28,40.95
535.3,168.9,810.7,760.0,6.8,56,64.82
499.5,174.1,901.2,776.4,2.53,28,51.21
430.3,166.1,786.1,834.2,7.95,28,45.83
406.6,186.4,805.9,787.4,2.47,7,30.43
546.9,206.3,778.0,910.4,12.21,56,48.0
485.1,170.7,815.0,872.3,2.65,7,39.71
538.8,183.4,862.1,795.7,8.41,3,30.5
347.3,167.8,1039.7,697.3,7.95,180,42.39
515.6,160.2,975.3,651.7,8.48,7,43.05
466.5,161.7,1025.1,692.1,8.01,3,30.34
348.0,153.5,803.6,761.4,6.48,28,40.72
455.3,207.0,784.6,913.3,3.39,7,29.5
477.8,174.2,871.3,876.4,8.84,3,27.28
322.8,200.0,835.0,884.3,7.3,28,28.86
424.5,190.9,753.2,912.7,10.39,28,42.67
509.8,161.5,777.8,897.5,7.07,28,54.35
387.9,160.5,839.5,781.2,4.61,7,35.54
425.5,198.7,844.5,841.3,8.54,28,41.31
421.7,165.9,812.9,891.1,6.69,56,51.98
389.4,204.8,975.3,774.4,3.95,7,28.02
531.2,158.4,830.1,818.4,4.49,7,44.8
499.7,190.7,902.6,659.6,4.2,1,10.28
345.4,198.9,811.5,857.7,4.9,28,33.79
549.3,164.1,835.3,738.5,4.62,7,43.76
522.2,166.6,763.7,835.3,2.82,28,54.79
385.3,207.9,847.1,768.6,2.33,90,39.31
512.5,165.9,802.1,894.1,12.09,7,41.68
344.5,175.8,752.5,834.3,2.23,28,39.44
549.8,176.0,857.8,725.3,,7,44.74
473.1,165.2,763.2,795.8,6.63,1,15.33
469.5,196.5,820.7,904.0,4.65,28,43.6
340.8,196.3,995.4,693.3,8.27,14,26.06
526.3,172.7,711.1,846.8,12.22,90,61.94
326.7,200.1,831.9,723.7,4.28,28,30.59
375.4,162.8,884.4,777.3,5.25,7,32.5
352.9,150.3,783.3,823.2,4.41,14,42.85
498.7,184.3,864.6,804.8,2.87,7,36.34
365.6,209.6,758.2,878.8,3.97,56,33.87
529.4,152.3,968.3,766.4,3.95,28,60.2
470.9,162.5,776.9,830.7,3.32,7,38.07
328.3,181.1,807.5,878.3,5.32,28,34.49
321.2,198.6,776.1,784.7,2.24,28,31.53
331.9,155.3,1019.2,722.0,2.34,28,40.87
459.4,173.7,994.4,751.8,6.71,3,29.02
504.3,194.8,1005.2,692.7,6.98,1,14.95
374.9,172.3,900.0,743.0,2.91,3,22.24
515.4,161.3,875.8,718.2,2.62,14,46.28
333.2,161.7,893.9,818.6,2.95,28,37.32
504.2,174.6,994.2,703.0,4.9,3,29.72
533.4,178.8,839.7,754.7,11.2,14,46.95
497.6,201.7,825.5,814.8,11.6,14,42.38
480.6,188.5,896.9,745.6,6.3,3,26.55
512.7,191.4,912.4,802.9,6.72,90,56.72
329.2,209.0,790.4,896.3,6.34,28,28.18
366.4,174.7,854.3,824.4,6.43,14,35.69
348.7,174.2,834.9,845.0,3.03,28,38.05
436.0,205.4,925.6,678.5,3.12,7,31.38
491.4,164.8,823.3,801.1,6.76,56,57.16
464.9,193.8,893.7,665.4,7.58,28,47.91
515.8,195.3,881.6,825.8,4.01,28,47.59
355.7,155.9,921.4,715.2,3.86,90,47.17
489.0,178.1,770.2,867.5,5.44,56,54.57
364.4,162.0,941.4,657.7,3.73,56,44.55
382.3,161.1,831.1,760.8,5.43,7,36.24
483.3,177.8,815.4,852.2,8.73,7,39.3
545.4,167.4,776.3,820.2,8.28,28,59.36
460.7,197.8,765.4,797.4,4.16,28,44.6
332.5,204.5,860.3,843.2,2.35,28,30.46
461.8,198.2,906.3,719.0,9.9,28,43.9
329.7,166.0,963.3,662.7,4.81,7,28.09
523.4,166.4,900.5,735.7,3.27,7,44.48
483.2,165.3,911.4,801.6,4.91,28,54.45
359.8,158.1,835.0,779.2,7.59,7,31.82
341.1,206.6,977.1,724.5,6.83,28,31.37
362.2,174.1,1003.6,734.4,8.16,28,36.14
545.4,163.5,830.9,851.3,9.29,28,57.91
425.5,200.8,970.4,666.0,5.73,28,42.54
500.3,174.0,865.5,834.0,6.77,28,52.83
466.4,152.1,935.7,705.9,4.14,28,55.1
451.7,159.7,971.6,661.3,8.14,7,34.74
353.4,188.4,919.5,735.6,5.9,28,35.38
537.6,197.0,765.2,848.3,4.35,28,50.96
389.3,162.7,845.0,725.9,8.84,7,36.08
452.9,205.0,763.9,869.0,5.6,28,44.19
480.9,201.1,895.1,679.7,2.88,56,46.88
469.3,200.9,803.3,828.8,5.42,7,33.79
536.3,163.7,920.9,740.5,12.01,28,56.06
354.1,153.0,1018.3,717.9,8.27,90,47.82
436.9,202.0,743.0,814.2,6.47,56,41.77
412.9,168.3,852.1,822.2,9.96,14,39.44
429.1,187.1,898.0,743.5,9.66,28,42.45
347.4,195.6,797.1,756.9,7.47,180,39.98
350.8,157.7,761.9,838.0,7.79,28,42.7
384.0,196.9,715.0,858.7,4.85,3,20.53
390.1,206.3,814.2,779.2,7.85,1,8.72
418.4,193.7,878.5,726.4,6.92,28,38.58
460.5,176.5,874.0,756.3,8.93,14,46.6
466.0,202.6,783.9,871.9,3.99,7,29.44
414.7,181.6,802.4,747.8,8.14,7,32.74
414.0,194.7,799.8,782.6,10.0,28,41.28
370.1,199.2,770.4,798.3,4.09,28,35.79
455.3,195.0,928.6,731.4,11.26,56,46.33
392.9,167.3,802.2,813.6,4.94,28,41.65
328.3,157.1,881.3,778.4,2.95,180,42.27
416.2,164.3,938.3,656.1,3.02,56,48.49
429.1,180.2,825.5,729.4,8.88,7,33.67
371.9,180.3,943.1,795.2,5.99,28,41.65
451.7,185.0,724.5,847.1,5.03,1,10.06
450.1,173.7,751.0,824.4,7.73,180,54.42
481.5,197.2,734.6,844.7,5.61,7,35.72
469.0,204.8,986.1,760.1,6.55,28,45.75
470.1,164.8,962.9,710.6,10.46,56,55.76
392.7,194.2,799.2,872.9,7.21,7,31.36
501.1,190.7,843.8,903.6,10.15,56,52.27
446.3,181.4,781.5,786.2,7.44,1,13.22
419.2,161.3,939.9,805.0,10.41,14,42.17
464.0,197.7,864.2,726.6,4.56,28,39.89
403.0,207.6,926.1,748.5,4.13,14,34.26
437.9,193.3,957.2,676.8,3.0,28,43.57
489.4,205.1,804.1,822.7,7.87,90,50.2
523.9,209.1,952.9,783.4,9.05,7,35.58
531.8,171.1,843.6,736.3,10.38,28,59.06
435.8,188.3,867.5,881.9,5.1,56,45.87
439.7,178.4,952.9,672.9,2.31,28,46.59
504.0,209.2,779.9,899.8,8.89,1,13.29
392.3,155.6,970.8,772.8,9.8,90,55.07
512.6,174.7,873.2,688.3,5.58,1,13.56
433.7,202.5,1018.7,715.9,3.76,28,39.62
346.6,167.0,878.0,785.6,3.69,28,37.09
336.6,197.3,842.5,848.4,4.55,28,34.95
513.7,173.0,907.1,672.8,5.15,3,29.71
332.8,208.8,937.1,719.6,3.97,7,23.25
384.5,203.0,884.5,800.2,6.83,28,42.13
396.8,168.1,927.6,713.7,4.72,3,24.82
359.8,196.2,775.0,806.0,4.65,28,32.65
392.2,170.2,860.8,738.0,2.27,28,42.98
490.8,186.4,997.7,723.2,11.46,28,48.22
323.4,189.5,774.9,782.0,4.25,7,23.83
510.2,199.8,884.0,807.8,5.9,7,36.08
517.0,151.5,1037.1,712.8,3.48,90,61.82
405.6,163.2,883.9,667.6,7.17,14,40.55
355.3,192.7,922.5,659.7,7.92,1,12.24
458.2,183.8,855.5,829.3,2.67,7,36.0
347.5,179.7,936.4,625.6,2.75,7,27.55
403.9,153.3,788.8,879.2,3.2,180,54.99
540.4,170.9,890.3,796.5,9.21,7,44.32
549.0,201.9,870.3,797.3,12.86,1,14.04
497.6,151.9,924.7,698.3,6.84,28,59.22
391.5,173.8,990.5,698.9,4.65,3,23.45
478.2,206.7,934.0,734.8,9.71,7,35.35
482.2,153.1,865.8,725.7,9.57,180,63.7
409.2,195.0,854.8,807.8,4.07,28,40.47
467.4,165.5,909.0,817.4,3.84,3,27.4
